particle_id,x,y,mass
   0, 709589.87, 872532.86,   1535.07
   1, 698093.23, 985077.92,   4139.68
   2, 576987.64, 759095.80,    378.32
   3, 350281.21, 408812.74,  10777.73
   4, 167127.55, 626157.23,   6665.34
   5, 512084.59, 490991.20,   1917.31
   6, 657114.94, 189643.22,   3357.02
   7, 897010.08, 461739.03,   1258.53
   8, 788759.34, 287194.92,   3049.66
   9, 991163.49, 933596.48,   3255.37
  10,  29160.40, 671671.30,   1561.59
  11, 774452.16, 554145.49,   1790.72
  12, 913379.91, 411121.02,   2766.56
  13, 464931.96, 705031.83,   3712.18
  14, 650624.84, 380591.93,   1833.45
  15, 242032.80, 319834.03,   4652.32
  16, 423934.73, 721059.98,   1921.71
  17, 484056.51, 367309.89,   3009.44
  18, 288163.70, 217356.75,   2092.13
  19, 524610.72, 848103.63,   2515.53
  20, 794111.28, 875834.55,   1223.69
  21, 574257.29, 377719.99,    944.83
  22, 510657.35,  83125.99,    112.99
  23, 245781.27, 314140.18,     77.43
  24,  90620.56, 597930.27,    644.41
